Name,Gender,Height,Education Level,Eye Color,Married,Salary Income,Depressed
Sax Tesseyman,Female,174,Intermediate,Blue,Yes,85000000,No
Niels Greet,Male,165,Intermediate,Black,No,14000000,No
Minetta Santry,Female,160,Low,Black,No,148000000,Yes
Sherm Gossipin,Female,144,High,Black,No,50000000,Yes
Cathie Blackmuir,Male,168,Intermediate,Black,Yes,101000000,No
Early Cardenas,Male,151,Low,Black,Yes,145000000,Yes
Willard Pendrick,Female,141,Intermediate,Brown,No,55000000,Yes
Penelopa Spensly,Female,144,Intermediate,Blue,Yes,51000000,No
Courtney Easey,Female,150,High,Gray,No,97000000,Yes
Denney Eustice,Male,151,Low,Brown,No,41000000,Yes
Archaimbaud Zupa,Female,161,High,Brown,Yes,27000000,No
Dylan Pratty,Male,163,High,Black,Yes,3000000,No
Milli Brinded,Female,174,High,Brown,No,9000000,Yes
Kacie Giacomazzo,Female,153,Intermediate,Brown,No,12000000,Yes
Doretta Siegertsz,Male,153,Intermediate,Black,Yes,81000000,No
Fiorenze Seavers,Male,174,High,Blue,No,53000000,Yes
Harriette Denning,Male,169,Low,Gray,No,10000000,Yes
Bidget Rosenschein,Male,155,Intermediate,Black,Yes,55000000,No
Barbara-anne McNuff,Female,147,High,Gray,No,13000000,Yes
Arielle Squeers,Male,182,High,Brown,No,35000000,Yes
Tana Bolitho,Female,164,High,Black,Yes,149000000,No
Booth Phillput,Female,140,Low,Blue,Yes,99000000,No
Orbadiah Yanele,Male,185,Intermediate,Gray,No,25000000,Yes
Sascha Tollett,Female,143,Intermediate,Gray,No,77000000,Yes
Emalee Blackford,Male,151,Intermediate,Blue,No,1000000,Yes
Catie Raithby,Female,151,Low,Gray,No,50000000,Yes
Vanda Richardot,Female,174,High,Blue,Yes,56000000,No
Kylie Rotte,Male,182,Low,Gray,No,77000000,Yes
Had Birkmyre,Female,162,Intermediate,Gray,Yes,39000000,Yes
Brianne Sibbald,Female,162,High,Brown,Yes,16000000,No
Consolata Hamerton,Male,151,High,Blue,Yes,87000000,No
Cassie Pflieger,Female,152,Low,Brown,Yes,126000000,No
Seamus Vennings,Female,147,Low,Blue,Yes,41000000,No
Berkie Toseland,Female,154,Low,Gray,No,97000000,Yes
Wes Bennough,Female,151,Intermediate,Brown,No,47000000,Yes
Hadley Thatcham,Male,154,Intermediate,Brown,No,135000000,Yes
Giana Trussell,Male,164,High,Black,Yes,87000000,No
Latisha Scotchford,Male,153,Intermediate,Blue,Yes,104000000,No
Ximenes Boffin,Female,172,High,Gray,No,9000000,Yes
Amalle Ouldred,Male,154,Low,Brown,No,54000000,Yes
Jena Copnall,Female,147,High,Black,No,96000000,No
Martica Martusov,Female,153,High,Blue,No,6000000,Yes
Allayne Baselli,Female,148,High,Black,Yes,73000000,No
Goldina Badham,Female,144,Intermediate,Gray,Yes,68000000,No
Ives Costock,Female,183,High,Brown,No,39000000,Yes
Conny Yabsley,Female,144,Intermediate,Black,Yes,92000000,No
August Marguerite,Female,154,High,Black,No,52000000,No
Midge Hopkyns,Male,162,Intermediate,Brown,No,62000000,Yes
Karee Jerzak,Male,150,Intermediate,Blue,Yes,52000000,No
Gisela Kamienski,Male,146,Low,Gray,No,27000000,Yes
